Process,WD,Expected
Account & Compliance,1,36.6
Account & Compliance,2,47.8
Account & Compliance,3,57.6
Account & Compliance,4,61.9
Account & Compliance,5,63.9
Account & Compliance,6,64.7
Account & Compliance,7,66.3
Account & Compliance,8,66.4
Account & Compliance,9,68.3
Account & Compliance,10,69.7
Account & Compliance,12,70.1
Account & Compliance,14,70.5
Account & Compliance,17,73.6
Account & Compliance,18,75
Account & Compliance,19,77.4
Account & Compliance,20,80.4
Account & Compliance,21,84.3
Account & Compliance,22,89.1
Account & Compliance,23,100
BSC SAZ FINANCEIRO OFF TRADE,-4,3.1
BSC SAZ FINANCEIRO OFF TRADE,-2,6.2
BSC SAZ FINANCEIRO OFF TRADE,-1,21.9
BSC SAZ FINANCEIRO OFF TRADE,1,98.4
BSC SAZ FINANCEIRO OFF TRADE,5,100
FP&A Operations,-7,0.1
FP&A Operations,-6,0.1
FP&A Operations,-4,0.2
FP&A Operations,-3,0.3
FP&A Operations,-2,0.5
FP&A Operations,-1,0.6
FP&A Operations,1,11.1
FP&A Operations,2,23.2
FP&A Operations,3,36.5
FP&A Operations,4,50.3
FP&A Operations,5,62.5
FP&A Operations,6,69.8
FP&A Operations,7,79.1
FP&A Operations,8,86.3
FP&A Operations,9,90.1
FP&A Operations,10,93.7
FP&A Operations,11,95.2
FP&A Operations,12,6.9
FP&A Operations,13,97.9
FP&A Operations,14,98
FP&A Operations,15,98.1
FP&A Operations,16,98.2
FP&A Operations,17,98.7
FP&A Operations,18,98.9
FP&A Operations,19,99.4
FP&A Operations,20,99.5
FP&A Operations,21,100
Lux Offshores,1,84.8
Lux Offshores,4,100
Reporting & Consolidation,-7,0.1
Reporting & Consolidation,-5,0.3
Reporting & Consolidation,-3,0.4
Reporting & Consolidation,-2,0.6
Reporting & Consolidation,-1,1.8
Reporting & Consolidation,1,14
Reporting & Consolidation,2,30.6
Reporting & Consolidation,3,46.3
Reporting & Consolidation,4,53.4
Reporting & Consolidation,5,64.1
Reporting & Consolidation,6,66.7
Reporting & Consolidation,7,75
Reporting & Consolidation,8,85.8
Reporting & Consolidation,9,87.7
Reporting & Consolidation,10,95
Reporting & Consolidation,11,95.6
Reporting & Consolidation,12,96.6
Reporting & Consolidation,13,97.2
Reporting & Consolidation,14,97.4
Reporting & Consolidation,15,97.5
Reporting & Consolidation,17,97.7
Reporting & Consolidation,18,98.2
Reporting & Consolidation,20,99.4
Reporting & Consolidation,22,99.6
Reporting & Consolidation,23,100
Supply Chain Finance,-2,0.2
Supply Chain Finance,1,5.6
Supply Chain Finance,2,19.2
Supply Chain Finance,3,35.9
Supply Chain Finance,4,51.9
Supply Chain Finance,5,65.5
Supply Chain Finance,6,81.3
Supply Chain Finance,7,85.2
Supply Chain Finance,8,91.2
Supply Chain Finance,9,93.8
Supply Chain Finance,10,96
Supply Chain Finance,11,96.5
Supply Chain Finance,12,97.1
Supply Chain Finance,13,97.8
Supply Chain Finance,14,98.1
Supply Chain Finance,15,98.5
Supply Chain Finance,16,99
Supply Chain Finance,19,100
Treasury,1,29.6
Treasury,2,55.7
Treasury,3,80.5
Treasury,4,81.4
Treasury,5,82.4
Treasury,6,85.3
Treasury,7,92.2
Treasury,8,94.1
Treasury,9,96.1
Treasury,10,98
Treasury,11,100
ZBB,-7,0.7
ZBB,-6,1.3
ZBB,-5,2
ZBB,-3,3.3
ZBB,1,12.4
ZBB,2,23.5
ZBB,3,35.3
ZBB,4,51
ZBB,5,68.6
ZBB,6,75.8
ZBB,7,88.2
ZBB,8,94.1
ZBB,9,95.4
ZBB,10,96.7
ZBB,11,98
ZBB,12,99.3
ZBB,13,100

